Id   |Name                                 |!|Country                                   |Sponsor                                                              |Host                                                    |Distance  |Latency
23071|Miedzyrzec Podlaski                  |+|Poland                                    |TAU INTERNET sp. z o.o.                                              |speedtest3.tau.pl:8080                                  |253763.4  |0
22759|Międzyrzec Podlaski                  |+|Poland                                    |FURORA.PL (LIQUID SYSTEMS Sp. z o.o.)                                |speedtest.furora.pl:8080                                |253935.6  |0
25301|Kuczki Kolonia                       |+|Poland                                    |LUK-NET Lukasz Drab                                                  |speedtest.luk-net.pl:8080                               |254914.0  |0
5576 |Brest                                |+|Belarus                                   |WIKILINK                                                             |ichi.wikilink.by:8080                                   |256210.8  |0
5614 |Brest                                |+|Belarus                                   |BYFLY                                                                |www.belpak.brest.by:8080                                |256210.8  |0
5483 |Brest                                |+|Belarus                                   |Mobile TeleSystems JLLC                                              |speedtest-brest.tech.mts.by:8080                        |256210.8  |0
2109 |Lukow                                |+|Poland                                    |FERO                                                                 |speedtest.feromedia.pl:8080                             |259764.7  |0
22822|Łuków                                |+|Poland                                    |FURORA.PL (LIQUID SYSTEMS Sp. z o.o.)                                |speedtest2.furora.pl:8080                               |259764.7  |0
11273|Skalbmierz                           |+|Poland                                    |PHU ADAMEK                                                           |skalbmierz.com:8080                                     |264533.6  |0
23978|Levoča                               |+|Slovakia                                  |Levonet, s.r.o.                                                      |speedtest.levonet.sk:8080                               |265507.0  |0
12478|Kielce                               |+|Poland                                    |Netcity                                                              |speedtest.netcity.pl:8080                               |266982.8  |0
20983|Kielce                               |+|Poland                                    |DSK Piotr Chrobot                                                    |speedtest.dsk-kielce.pl:8080                            |266982.8  |0
815  |Nyiregyhaza                          |+|Hungary                                   |Giganet Internet Kft                                                 |speedtest.giganet.hu:8080                               |269335.0  |0
3376 |Niepolomice                          |+|Poland                                    |Fiberway Sp. z o.o.                                                  |test.fiberway.pl:8080                                   |273815.9  |0
8390 |Jedrzejow                            |+|Poland                                    |Proneteus Sp z o.o.                                                  |spdt1.proneteus.pl:8080                                 |279498.2  |0
16181|Khmelnik                             |+|Ukraine                                   |VinAsterisk                                                          |vinasterisk.net:8080                                    |283297.1  |0
11239|Siedlce                              |+|Poland                                    |NEANET                                                               |speed1.neanet.pl:8080                                   |284897.2  |0
2289 |Siedlce                              |+|Poland                                    |Domtel Telecom                                                       |speedtest.domtel.com.pl:8080                            |284897.2  |0
2673 |Nowy Targ                            |+|Poland                                    |Firma H.U. KOMPEX                                                    |www.hosting.kompex.pl:8080                              |290214.3  |0
9510 |Krakow                               |+|Poland                                    |ClassCom sp. z o.o.                                                  |speedtest.classcom.pl:8080                              |293851.7  |0
8123 |Krakow                               |+|Poland                                    |S-Net Sp. z o.o.                                                     |speedtest.s-net.pl:8080                                 |293851.7  |0
7175 |Krakow                               |+|Poland                                    |Orange Polska S.A.                                                   |kra-o1.speedtest.orange.pl:8080                         |293851.7  |0
1958 |Krakow                               |+|Poland                                    |F.H.U. Compower                                                      |speedtest.compower.pl:8080                              |293851.7  |0
16878|Kraków                               |+|Poland                                    |petroinform.net                                                      |speedtest.petroinform.net:8080                          |293851.7  |0
25726|Krakow                               |+|Poland                                    |Krakowski Internet                                                   |speedtest.krakowskiinternet.pl:8080                     |293851.7  |0
23123|Kraków                               |+|Poland                                    |T-Mobile Polska S.A.                                                 |kra1.t-mobile.pl:8080                                   |293851.7  |0
11854|Suceava                              |+|Romania                                   |Stefan cel Mare University of Suceava                                |speedtest1.usv.ro:8080                                  |294053.7  |0
