Id   |Name                         |!|Country                                   |Sponsor                                                              |Host                                                    |Distance  |Latency
12059|Songkhla                     |+|Thailand                                  |AIS                                                                  |speedtest-hyi1.ais-idc.net:8080                         |8436679.3 |0
24408|Songkhla                     |+|Thailand                                  |3BB                                                                  |speedtest-hyi1.3bb.co.th:8080                           |8436679.3 |0
13700|Songkhla                     |+|Thailand                                  |Rajamangala University of Technology Srivijaya                       |speedtest.rmutsv.ac.th:8080                             |8436679.3 |0
22814|Pindoretama                  |+|Brazil                                    |IZnet Telecom                                                        |speedtest.iznet.com.br:8080                             |8436793.1 |0
8184 |Paraipaba                    |+|Brazil                                    |HiperLink                                                            |170.84.143.254:8080                                     |8436835.4 |0
7982 |Midrand                      |+|South Africa                              |CipherWave                                                           |ookla1.cipherwave.co.za:8080                            |8437018.0 |0
4086 |Midrand                      |+|South Africa                              |AfricaINX                                                            |speedtest.africainx.net:8080                            |8437018.0 |0
6279 |Midrand                      |+|South Africa                              |Jenny Internet                                                       |speedtest1.jennyme.co.za:8080                           |8437018.0 |0
10411|Milford, NE                  |+|United States                             |Educational Service Unit 6                                           |speedtest.esu6.org:8080                                 |8437220.3 |0
4470 |Saint Croix                  | |Virgin Islands                            |Viya                                                                 |stx-fre-speedtest.vipowernet.net:8080                   |8437634.1 |0
2885 |Saint Croix                  | |Virgin Islands                            |Broadband VI                                                         |speedteststx.broadband.vi:8080                          |8437634.1 |0
6762 |Saint Croix                  | |Virgin Islands                            |VI Next Generation Network                                           |speedtest.vingn.com:8080                                |8437634.1 |0
12000|Taichung                     |+|Taiwan                                    |TBC                                                                  |custom.tbcnet.net.tw:8080                               |8440393.4 |0
12585|Taichung                     |+|Taiwan                                    |TFN Media                                                            |tc-speedtest-1.twmbroadband.net:8080                    |8440393.4 |0
18456|Taichung                     |+|Taiwan                                    |Chunghwa Mobile                                                      |tc1.chtm.hinet.net:8080                                 |8440393.4 |0
7469 |Taichung                     |+|Taiwan                                    |TINP                                                                 |61.60.226.1:8080                                        |8440393.4 |0
11707|Taichung                     |+|Taiwan                                    |Taiwan Mobile                                                        |spttc1.taiwanmobile.com:8080                            |8440393.4 |0
6391 |Taichung                     |+|Taiwan                                    |Asia University, Taiwan                                              |speed1.asia.edu.tw:8080                                 |8440393.4 |0
4940 |Taichung                     |+|Taiwan                                    |Chief Telecom                                                        |tcv3-1.speedtest.idv.tw:8080                            |8440393.4 |0
7076 |Taichung                     |+|Taiwan                                    |Feng Chia University                                                 |spt.oms.fcu.edu.tw:8080                                 |8440393.4 |0
6597 |Taichung                     |+|Taiwan                                    |Tunghai University                                                   |speedtest.thu.edu.tw:8080                               |8440393.4 |0
18276|Arsenal                      |+|Mauritius                                 |Emtel LTD                                                            |speedtest-asn.emtel.com:8080                            |8442573.1 |0
13857|Maracanau                    |+|Brazil                                    |Navega Mais Maracanau                                                |www.maracanau.navegamais.com.br:8080                    |8443348.1 |0
13981|Maracanau                    |+|Brazil                                    |LINK-CEARA                                                           |speedtest226.linkceara.com.br:8080                      |8443348.1 |0
18107|Hatyai                       |+|Thailand                                  |CAT TELECOM PUBLIC COMPANY LIMITED                                   |hatyai.catspeedtest.net:8080                            |8443396.9 |0
5200 |Trail, BC                    |+|Canada                                    |Columbia Basin Broadband Corp.                                       |sp3.basinbroadband.ca:8080                              |8444547.7 |0
14935|Caucaia                      |+|Brazil                                    |BestWeb                                                              |speedtest.bestweb.com.br:8080                           |8445685.6 |0
23007|Caucaia                      |+|Brazil                                    |Smart Solucoes                                                       |sp1.smartinternet.com.br:8080                           |8445685.6 |0
13854|Sardis City, AL              |+|United States                             |Sardis Telecom                                                       |speedtest.sardistel.com:8080                            |8446040.8 |0
12030|Itaitinga                    |+|Brazil                                    |LinkNet Solucoes                                                     |link2.linknetsolucoes.com:8080                          |8446353.2 |0
26231|Itaitinga                    |+|Brazil                                    |Top Connect                                                          |speedtest.topconnect.net.br:8080                        |8446353.2 |0
24492|Saint-Denis La Réunion       |+|France                                    |ORANGE FRANCE                                                        |reunion3.speedtest.orange.fr:8080                       |8446807.3 |0
16471|Trenton, TN                  |+|United States                             |Gibson Electric Membership Corporation                               |fast.gibsonconnect.com:8080                             |8447290.4 |0
3827 |Floreal                      |+|Mauritius                                 |Mauritius Telecom Ltd                                                |speedtestfl.telecom.mu:8080                             |8447544.6 |0
3825 |Port Louis                   |+|Mauritius                                 |MyT                                                                  |speedtestmobile.telecom.mu:8080                         |8447544.6 |0
1704 |Port Louis                   |+|Mauritius                                 |Mauritius Telecom                                                    |speedtest.telecom.mu:8080                               |8447544.6 |0
11499|Ebene                        |+|Mauritius                                 |Rogers Capital Technology Services Ltd                               |speedtest.webhop.net:8080                               |8447544.6 |0
6829 |Ebene                        |+|Mauritius                                 |Bharat Telecom Ltd                                                   |speedtest1.btl.mu:8080                                  |8447544.6 |0
3813 |Rose-Hill                    |+|Mauritius                                 |Mauritius Telecom Ltd                                                |speedtestrh.telecom.mu:8080                             |8447544.6 |0
12463|Roodepoort                   |+|South Africa                              |MTN SA                                                               |speedtest.nl.mtn.co.za:8080                             |8449434.1 |0
5164 |Changhua                     |+|Taiwan                                    |Chief Telecom                                                        |chv3-1.speedtest.idv.tw:8080                            |8449483.6 |0
18611|Changhua                     |+|Taiwan                                    |Chunghwa Mobile                                                      |ch1.chtm.hinet.net:8080                                 |8449483.6 |0
18614|Aracati                      |+|Brazil                                    |Bitwave Telecomunicações                                             |speedtest.bitwave.com.br:8080                           |8449679.0 |0
24020|Rose Hill                    |+|Mauritius                                 |Emtel Ltd                                                            |speedtest3-10g.emtelnet.com:8080                        |8452243.9 |0
15722|Randburg                     |+|South Africa                              |MTN SA                                                               |speedtest.rb.mtn.co.za:8080                             |8452862.2 |0
1879 |Randburg                     |+|South Africa                              |Telkom SA (SAIX)                                                     |rosebank.spdtst.saix.net:8080                           |8452862.2 |0
6591 |Randburg                     |+|South Africa                              |Cool Ideas                                                           |sp1.cisp.co.za:8080                                     |8452862.2 |0
23042|Acaraú                       |+|Brazil                                    |CyberInfo Provedor de Internet                                       |sp1.cyberinfo.net.br:8080                               |8454513.9 |0
8430 |Horizonte                    |+|Brazil                                    |KimNet                                                               |170.0.113.11:8080                                       |8454753.5 |0
20097|Horizonte                    |+|Brazil                                    |GTRNET                                                               |speed.gtrnet.com.br:8080                                |8454753.5 |0
