Id   |Name                 |!|Country                                   |Sponsor                              |Host                                     |Distance  |Latency
5373 |Podgorica            | |Montenegro                                |Crnogorski Telekom AD                |speedtest.t-com.me:8080                  |901459.3  |0
8819 |Podgorica            | |Montenegro                                |m:tel doo                            |62.4.62.62:8080                          |901459.3  |0
24464|Podgorica            | |Montenegro                                |Telemach d.o.o.                      |speedtest.telemach.me:8080               |901459.3  |0
16250|Podgorica            | |Montenegro                                |Telenor Montenegro                   |ookla.telenor.me:8080                    |901459.3  |0
17502|Dobrich              | |BG                                        |Dobrich Telecom Provider             |speedtest.dtp-bg.bg:8080                 |756138.0  |0
17988|Sofia                | |BG                                        |Nilsat Ltd                           |speedtestsofya.nilsat.net:8080           |801577.6  |0
17787|Sofia                | |BG                                        |SKYNET BG                            |speed.skynet.bg:8080                     |801577.6  |0
10606|St Helier            | |Jersey                                    |Sure Telecom                         |speedtest1.sure.com:8080                 |1880136.7 |0
1525 |Saint Helier         | |Jersey                                    |Jersey Telecom Limited               |speedtest.jtglobal.com:8080              |1880254.1 |0
6019 |Saint Helier         | |Jersey                                    |Newtel Limited                       |speedtest.newtel.je:8080                 |1880254.1 |0
462  |Tórshavn             | |Faroe Islands                             |Faroese Telecom                      |speedtest1.internet.fo:8080              |2314602.6 |0
22203|Tórshavn             | |Faroe Islands                             |Hey                                  |speedtest.hey.fo:8080                    |2314602.6 |0
25645|Tórshavn             | |Faroe Islands                             |Føroya Tele                          |speedtest.lte.fo:8080                    |2314602.6 |0
13370|Ouagadougou          | |Burkina Faso                              |Virtual Technologies and Solutions   |speedtest.vts.bf:8080                    |4816052.7 |0
22850|Ouagadougou          | |Burkina Faso                              |Orange Burkina                       |speedtest.orange.bf:8080                 |4816052.7 |0
14304|Dakola               | |Burkina Faso                              |Virtual Technologies and Solutions SA|speedtest3.vts.bf:8080                   |4900394.6 |0
17134|Phitsanulok          | |TH                                        |AIS                                  |speedtest-plk1.ais-idc.net:8080          |7613003.2 |0
17690|Ayutthaya            | |TH                                        |AIS                                  |speedtest-aya1.ais-idc.net:8080          |7838770.9 |0
17111|Nakhon Ratchasima    | |TH                                        |AIS                                  |speedtest-nma1.ais-idc.net:8080          |7897051.0 |0
16810|Banda Aceh           | |ID                                        |Universitas Syiah Kuala              |speedtest.unsyiah.ac.id:8080             |8208339.2 |0
17516|Jakarta              | |ID                                        |PT Des Teknologi Informasi           |speedtest.desnet.id:8080                 |10027553.0|0
17534|Jakarta              | |ID                                        |INETKU                               |speedtest.inetku.net.id:8080             |10027553.0|0
17123|Ciudad Del Este      | |PY                                        |NEO TELECOM                          |speedtest.neo.com.py:8080                |11395586.8|0
